# epic,raj2000,dej2000,kepmag
224343392,271.085671,-24.415416,12.771
228162462,271.88695,-15.963038,11.996
224048262,268.976278,-24.946954,14.793
248368658,268.767945,-24.813675,15.7
248368659,273.428967,-21.645521,15.1
248368660,273.6051666667,-25.9090555556,14.0
248368661,276.2858333333,-22.6006666667,16.2
248368750,262.9992083333,-19.2321111111,17.3
224466741,271.519496,-24.195523,8.414
248368902,272.576102151,-18.7811333778,16.0
224407235,271.175814,-24.300873,13.736
225747586,269.0887,-21.956075,6.935
223186907,275.080002,-26.379956,13.826
225936180,273.87945,-21.58967,13.978
222119868,272.682757,-27.963919,10.0
222907137,275.245275,-26.807111,13.108
225884422,269.316704,-21.691434,8.144
224389634,266.637999,-24.332146,11.562
227028693,263.571726,-19.156348,10.36
221907528,271.504767,-28.284507,9.966
223832867,270.933674,-25.312523,9.15
223276071,271.796709,-26.237698,9.929
227524709,274.333585,-17.934428,10.034
227943519,274.24424,-16.707185,10.299
227099784,273.464059,-18.989477,8.934
226030870,272.270052,-21.406898,9.04
227024370,272.659359,-19.166894,9.137
225799074,271.192074,-21.857547,12.501
225382260,266.504164,-22.625165,8.866
227420856,272.576334,-18.19482,8.953
228282372,273.076852,-15.567537,9.259
227115126,273.938464,-18.953356,8.348
224237996,273.990196,-24.607301,10.391
228244671,272.894607,-15.693184,9.671
224206658,272.385831,-24.663878,9.548
227105367,272.203907,-18.976234,8.359
227830499,274.974018,-17.072789,8.944
227365417,274.823958,-18.331989,10.027
227065848,273.57075,-19.068973,9.716
227552090,276.033991,-17.863553,9.972
227563774,274.818771,-17.83324,10.613
227829287,276.443824,-17.076573,9.198
227719084,275.666538,-17.410258,9.396
227433841,274.928252,-18.162658,9.42
227206884,273.016679,-18.726514,9.275
227841823,274.950001,-17.038021,10.177
222865889,270.91805,-26.868469,8.081
227070958,272.974055,-19.057083,8.909
227817310,275.114345,-17.11349,9.492
227386210,276.177111,-18.280714,9.162
226609366,273.922861,-20.18113,8.531
226972386,273.396574,-19.291767,9.297
224427127,268.358195,-24.26543,9.256
226775940,274.218597,-19.777822,9.93
224895617,271.175497,-23.459982,9.564
227713258,275.537952,-17.427321,9.429
223956110,271.86354,-25.104592,8.545
227596642,275.162228,-17.748621,8.594
227345588,272.944965,-18.381206,9.632
228248761,272.962138,-15.679863,8.053
226529059,273.901655,-20.367829,8.839
226373479,272.851299,-20.712501,8.762
227114953,276.800018,-18.953723,8.096
224379847,271.17365,-24.349646,9.788
224336179,271.210843,-24.428362,11.922
226659645,269.765287,-20.062383,8.267
225554801,270.851492,-22.308953,9.545
224145736,268.368501,-24.774345,8.502
248368656,271.1737083333,-24.3483,8.87
225438573,270.988553,-22.523004,9.699
225450463,271.052674,-22.50091,7.37
225484591,271.1013,-22.438558,9.979
225456723,271.086312,-22.489459,9.98
224017145,269.291393,-25.00049,9.138
225448198,271.144102,-22.505169,10.7
227826712,275.008103,-17.084552,10.484
225474545,271.050853,-22.456842,9.451
227173061,273.44486,-18.811215,9.427
222643038,269.155038,-27.196133,10.233
227159719,272.435174,-18.844398,7.751
227515758,274.519487,-17.957589,9.73
227172698,273.439554,-18.812096,9.802
225612092,271.462497,-22.204468,9.506
228028303,272.119805,-16.416663,7.708
227089373,273.820162,-19.013926,10.693
227007143,273.754682,-19.207679,9.489
222484031,273.045317,-27.429429,10.109
248368657,273.8158,-19.0078,9.98
223824828,271.422093,-25.326166,11.077
224566226,277.680352,-24.019143,11.526
248368662,273.34312,-27.97294,16.4
248368663,266.69221,-23.21342,17.82
248368664,273.38642,-27.94797,16.0
248368665,273.35858,-27.98181,15.68
248368666,266.97113,-22.72994,18.23
248368667,272.94129,-28.08528,16.7
248368668,269.76954,-26.99606,18.88
248368669,271.211,-25.63283,19.86
248368670,271.28471,-26.58881,16.2
248368671,273.29204,-27.89831,15.77
248368672,271.53792,-27.91772,18.25
248368673,273.28863,-27.84358,16.87
248368674,273.18233,-28.03986,17.23
248368675,273.16004,-27.83972,15.63
248368676,273.14967,-28.23594,16.64
248368677,273.10429,-27.81706,16.35
248368678,272.96467,-27.87733,15.68
248368679,272.916,-27.80908,16.17
248368680,272.88375,-27.92814,16.21
248368681,272.84633,-27.92478,16.39
248368682,272.76404,-27.97397,16.16
248368683,273.41304,-28.06381,16.06
248368684,273.30633,-28.18481,16.49
248368685,273.28121,-28.20047,16.68
248368686,271.74388,-26.77583,16.97
248368687,273.04863,-28.10761,16.06
248368688,272.94292,-28.11286,16.7
248368689,273.24292,-27.98472,16.23
248368690,271.77617,-27.13289,19.36
248368691,265.81846,-26.29092,20.28
248368692,271.98004,-26.80467,17.21
248368693,275.44704,-24.37461,17.81
248368694,275.30675,-25.95664,19.46
248368695,275.29421,-26.77325,18.96
248368696,274.85938,-26.979,16.61
248368697,274.65883,-26.07572,16.67
248368698,274.47454,-23.36519,17.67
248368699,274.11229,-26.05944,18.5
248368700,273.45092,-22.17553,19.1
248368701,271.78642,-27.81253,18.91
248368702,270.425,-25.79331,20.17
248368703,270.14392,-25.85681,20.9
248368704,269.51963,-21.01831,19.07
248368705,269.05121,-27.84975,20.49
248368706,266.31683,-26.63631,20.69
248368707,266.15767,-26.35872,19.71
248368708,266.03304,-25.96053,19.4
248368709,266.02663,-22.20458,17.64
248368710,265.0175,-25.538,20.04
248368711,264.37133,-26.27064,20.19
248368712,275.83546,-21.71183,17.99
248368713,275.74263,-25.84147,16.53
248368714,274.77983,-26.02153,19.08
248368715,274.63683,-26.38017,18.98
248368716,272.717,-26.63983,17.69
248368717,272.60721,-27.02294,20.6
248368718,272.58329,-28.00625,16.34
248368719,272.49658,-26.273,18.68
248368720,271.83154,-26.47108,17.79
248368721,272.93271,-28.26708,15.78
248368722,273.0805,-28.23853,16.53
248368723,272.77958,-28.18178,16.74
248368724,270.42046,-27.21139,18.63
248368725,272.91475,-28.26497,16.22
248368726,272.48371,-28.09236,17.26
221938867,272.518121,-28.237023,15.251
248368727,272.53992,-28.04911,17.26
248368728,272.551,-28.21747,16.82
248368729,272.58008,-27.92978,16.59
248368730,272.58879,-28.20183,16.84
248368731,272.41083,-28.0165,16.63
248368732,272.62225,-28.17811,17.08
248368733,272.68008,-28.27358,17.26
248368734,272.69675,-28.12331,16.65
248368735,272.71629,-28.21347,16.34
248368736,272.75288,-28.29228,16.26
248368737,272.75458,-27.90833,16.4
248368738,272.75525,-28.04544,15.8
248368739,272.67012,-28.35158,17.24
248368740,272.32779,-28.37261,17.15
248368741,272.38729,-28.13411,16.6
248368742,272.24758,-28.09794,16.15
248368743,272.26983,-28.15308,17.03
248368744,271.41825,-28.46961,16.78
248368745,271.43421,-28.60936,17.45
248368746,271.47033,-28.57119,17.1
248368747,271.73462,-28.54064,17.08
248368748,272.10817,-28.335,17.01
248368749,272.18117,-28.23097,16.54
227856268,274.247053,-16.994091,10.025
222182375,272.389001,-27.869029,9.988
222808946,275.856494,-26.953014,9.492
224400629,270.986846,-24.312531,8.148
224352697,271.293961,-24.39857,6.966
224082656,268.725182,-24.887095,6.307
224757434,270.496203,-23.691051,10.245
227049676,270.467843,-19.106132,8.162
226504882,272.987909,-20.423372,7.334
224432834,270.660913,-24.255385,7.293
227825246,270.050042,-17.08903,10.225
224947037,268.474212,-23.375142,10.129
226241087,270.240058,-20.988113,8.514
224487047,271.624055,-24.159158,9.177
223573464,267.251728,-25.749536,8.69
224332430,268.400509,-24.43521,10.072
227373493,273.264133,-18.312277,9.276
227108971,270.214692,-18.967814,9.263
228293755,272.258833,-15.528368,9.431
224351176,274.35356,-24.401226,9.582
226097699,272.591411,-21.276434,10.035
225191577,270.100608,-22.964474,9.91
227305488,272.966495,-18.481138,10.077
225990054,262.764426,-21.485288,9.612
222267075,272.688906,-27.742984,15.164
248368751,264.09708,-25.20906,17.23
248368752,267.8495,-29.31706,16.69
248368753,267.74692,-28.31392,18.12
248368754,265.21146,-25.06483,16.83
248368755,272.78496,-26.55436,17.6
223005777,264.700338,-26.658866,13.436
248368756,264.50575,-25.96633,16.58
248368757,273.29738,-23.26369,16.63
248368758,266.70071,-25.07417,17.58
248368759,268.21633,-28.02917,17.55
221646527,267.76525,-28.703581,12.995
248368760,270.86525,-25.08953,17.1
